timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-9.514228095337696e9,-3.4594082556290646e9,4.962259661387973e6,0.004598282407629077,-0.013006466455315892,6.506016104554985e-5,-9.522331431432095e9,-3.4693327749518414e9,-4.962259661389214e6,0.004917010801918869,-0.013136586777406993,-6.506016104554985e-5,26651.18333747771,9700.237442813268,1.7366469442121635e-12,-0.009515293209547946,0.026143053232722886,0.0
2.0215205309018665e10,-9.446430774280748e9,-3.6471799074146047e9,5.176656844997952e6,0.004802326350588547,-0.01301510797526562,-4.0614207038454456e-5,-9.449047870582144e9,-3.657534892923802e9,-5.176665299001187e6,0.00522955049971811,-0.01293410491290207,4.061383962995596e-5,26453.6701064302,10226.600679925668,4.315616839230354e-6,-0.010031876850306655,0.025949212888167695,3.6740849849086405e-10
4.043041061803733e10,-9.375278869209482e9,-3.8354004486716146e9,3.505480502892568e6,0.005079080836068657,-0.013081476693622262,-0.00020896142241800958,-9.371690508924074e9,-3.8424164265195727e9,-3.5055044739415827e6,0.005465435849572531,-0.012663694245380577,0.00020896094250096703,26245.75714961178,10748.943539525746,1.34032274544814e-5,-0.010544516685641188,0.025745170939002814,4.799170425708004e-10
6.0645615927056e10,-9.29646520185884e9,-4.0252189497152343e9,-1.2687859474285208e6,0.006177040746036218,-0.013012677010176428,-0.00024655560735162583,-9.29462490929466e9,-4.0226815955592203e9,1.2687694348832713e6,0.004875971245738071,-0.012518330268035054,0.0002465551529260121,26027.52619490907,11267.060666189822,2.3592937686462877e-5,-0.011053011991774287,0.025531007278211455,4.5442561386601294e-10
8.086082123607466e10,-9.208716582543335e9,-4.2066956177125673e9,717648.2429580493,0.0059314413647925356,-0.012431343555302994,0.00022198303782939663,-9.219185528634085e9,-4.208124740096448e9,-717679.1329497021,0.005625721654754707,-0.012875462568040778,-0.00022198348411356576,25799.063016273652,11780.748361880414,3.348729751225391e-5,-0.011557163019547253,0.02530680612334374,4.462841691942236e-10
1.0107602654509332e11,-9.123058428034935e9,-4.385782236315232e9,3.4336521319423043e6,0.005969440800003371,-0.012386411493126423,0.00014954768348711707,-9.134411088129074e9,-4.392649784648142e9,-3.433685141664238e6,0.006087331257765009,-0.012686243913442323,-0.00014954834665111252,25560.45740330244,12289.804668332401,4.5699270770238246e-5,-0.012056772057768388,0.025072655406568715,6.631639955955488e-10
1.2129123185411198e11,-9.035898947666666e9,-4.564306519218242e9,4.98312623347153e6,0.0061165731488590095,-0.012350345573075568,6.344340960504469e-5,-9.043960365758574e9,-4.5742860784490185e9,-4.983171225182166e6,0.00643506948803127,-0.012478301760771823,-6.34445127234703e-5,25311.80312811721,12794.029446686172,6.436802035834365e-5,-0.012551642636890278,0.024828647333847365,1.103118425738369e-9
1.4150643716313068e11,-8.946275992023521e9,-4.742389505628206e9,5.176404215182541e6,0.006307958595531106,-0.012328856579146855,-4.191144644294917e-5,-8.948865308037601e9,-4.752770984305613e9,-5.17647302353042e6,0.006733621537193154,-0.012246021086824677,4.1909940919939905e-5,25053.197917824586,13293.224458939112,9.129754210094942e-5,-0.013041580132724257,0.0245748776659715,1.5055230093867646e-9
1.6172164247214932e11,-8.85348818683094e9,-4.920491203447825e9,3.488241309326079e6,0.006571201533748219,-0.01236597073604716,-0.00021013876134465438,-8.849899879048143e9,-4.927504302585529e9,-3.4883425369527447e6,0.006955190661700418,-0.011945474972128549,0.0002101371088927026,24784.74340995721,13787.193438557379,0.0001236748943304385,-0.013526392195448633,0.02431144570817568,1.6524519519154418e-9
1.81936847781168e11,-8.753169008401226e9,-5.099766582671912e9,-1.2852365713418606e6,0.007666632856550275,-0.012255499859353697,-0.00023319560925079275,-8.751505963049643e9,-5.097192304608981e9,1.2851254321256536e6,0.006339256067515516,-0.011782954635610242,0.00023319397470568167,24506.545102947985,14275.742163190578,0.0001575721794222474,-0.014005888924065782,0.024038454494963907,1.6345451108169606e-9
