x , y
8.32642, -10.1951
8.37534, -10.1867
8.42412, -10.1781
8.47278, -10.1693
8.5213, -10.1603
8.5697, -10.1512
8.61796, -10.142
8.66609, -10.1326
8.71409, -10.123
8.76195, -10.1133
8.80969, -10.1034
8.85729, -10.0934
8.90476, -10.0832
8.9521, -10.0729
8.99931, -10.0625
9.04639, -10.0518
9.09333, -10.0411
9.14015, -10.0302
9.18683, -10.0191
9.23338, -10.0079
9.2798, -9.99661
9.32608, -9.98513
9.37224, -9.97352
9.41826, -9.96176
9.46415, -9.94986
9.50991, -9.93783
9.55554, -9.92565
9.60104, -9.91334
9.6464, -9.9009
9.69164, -9.88832
9.73674, -9.87561
9.78171, -9.86276
9.82655, -9.84978
9.87126, -9.83667
9.91584, -9.82342
9.96028, -9.81005
10.0046, -9.79655
10.0488, -9.78292
10.0928, -9.76916
10.1368, -9.75528
10.1805, -9.74127
10.2242, -9.72713
10.2677, -9.71287
10.3111, -9.69849
10.3544, -9.68398
10.3975, -9.66935
10.4405, -9.6546
10.4834, -9.63972
10.5262, -9.62473
10.5688, -9.60962
10.6112, -9.59439
10.6536, -9.57904
10.6958, -9.56357
10.7379, -9.54799
10.7799, -9.53229
10.8217, -9.51648
10.8634, -9.50055
10.905, -9.48451
10.9464, -9.46835
10.9877, -9.45209
11.0289, -9.43571
11.07, -9.41922
11.1109, -9.40262
11.1517, -9.38591
11.1923, -9.36909
11.2329, -9.35216
11.2733, -9.33512
11.3135, -9.31798
11.3537, -9.30073
11.3937, -9.28338
11.4336, -9.26592
11.4733, -9.24835
11.513, -9.23068
11.5525, -9.21291
11.5918, -9.19503
11.6311, -9.17705
11.6702, -9.15897
11.7092, -9.14079
11.748, -9.12251
11.7867, -9.10413
11.8253, -9.08565
11.8638, -9.06707
11.9021, -9.0484
11.9404, -9.02962
11.9784, -9.01075
12.0164, -8.99179
12.0542, -8.97272
12.0919, -8.95357
12.1295, -8.93431
12.1669, -8.91497
12.2043, -8.89553
12.2414, -8.87599
12.2785, -8.85637
12.3154, -8.83665
12.3523, -8.81684
12.3889, -8.79694
12.4255, -8.77695
12.4619, -8.75687
12.4982, -8.7367
12.5344, -8.71644
12.5704, -8.6961
12.6063, -8.67566
12.6421, -8.65514
12.6778, -8.63454
12.7133, -8.61384
12.7488, -8.59306
12.784, -8.5722
12.8192, -8.55125
12.8542, -8.53022
12.8891, -8.5091
12.9239, -8.4879
12.9586, -8.46662
12.9931, -8.44525
13.0275, -8.42381
13.0618, -8.40228
13.0959, -8.38067
13.13, -8.35898
13.1639, -8.33721
13.1977, -8.31537
13.2313, -8.29344
13.2648, -8.27144
13.2982, -8.24935
13.3315, -8.22719
13.3647, -8.20495
13.3977, -8.18264
13.4306, -8.16025
13.4634, -8.13778
13.496, -8.11524
13.5286, -8.09263
13.561, -8.06994
13.5932, -8.04717
13.6254, -8.02434
13.6574, -8.00142
13.6893, -7.97844
13.7211, -7.95539
13.7528, -7.93226
13.7843, -7.90906
13.8157, -7.88579
13.847, -7.86245
13.8782, -7.83904
13.9092, -7.81556
13.9402, -7.79201
13.971, -7.76839
14.0016, -7.74471
14.0322, -7.72095
