x , y
-5.48546, 6.80772
-5.51824, 6.80229
-5.55094, 6.79676
-5.58356, 6.79112
-5.61608, 6.78537
-5.64852, 6.77951
-5.68087, 6.77355
-5.71313, 6.76749
-5.74531, 6.76132
-5.77739, 6.75505
-5.80939, 6.74867
-5.8413, 6.7422
-5.87313, 6.73562
-5.90486, 6.72894
-5.93651, 6.72216
-5.96807, 6.71528
-5.99954, 6.70831
-6.03093, 6.70123
-6.06222, 6.69406
-6.09343, 6.68679
-6.12455, 6.67942
-6.15558, 6.67196
-6.18653, 6.66441
-6.21739, 6.65676
-6.24816, 6.64901
-6.27884, 6.64117
-6.30943, 6.63324
-6.33994, 6.62522
-6.37036, 6.6171
-6.40069, 6.6089
-6.43094, 6.6006
-6.46109, 6.59221
-6.49116, 6.58374
-6.52114, 6.57517
-6.55103, 6.56652
-6.58084, 6.55778
-6.61056, 6.54895
-6.64019, 6.54003
-6.66973, 6.53103
-6.69919, 6.52195
-6.72855, 6.51278
-6.75784, 6.50352
-6.78703, 6.49418
-6.81614, 6.48475
-6.84515, 6.47525
-6.87409, 6.46566
-6.90293, 6.45599
-6.93169, 6.44623
-6.96036, 6.4364
-6.98894, 6.42648
-7.01743, 6.41649
-7.04584, 6.40641
-7.07416, 6.39626
-7.1024, 6.38603
-7.13055, 6.37572
-7.15861, 6.36533
-7.18658, 6.35486
-7.21447, 6.34432
-7.24227, 6.3337
-7.26998, 6.32301
-7.29761, 6.31224
-7.32515, 6.30139
-7.3526, 6.29047
-7.37997, 6.27948
-7.40725, 6.26841
-7.43444, 6.25727
-7.46155, 6.24606
-7.48857, 6.23477
-7.51551, 6.22342
-7.54236, 6.21199
-7.56912, 6.20049
-7.59579, 6.18892
-7.62238, 6.17728
-7.64889, 6.16557
-7.67531, 6.15379
-7.70164, 6.14194
-7.72788, 6.13002
-7.75404, 6.11804
-7.78012, 6.10598
-7.80611, 6.09386
-7.83201, 6.08168
-7.85783, 6.06942
-7.88356, 6.0571
-7.9092, 6.04472
-7.93476, 6.03227
-7.96024, 6.01975
-7.98563, 6.00717
-8.01093, 5.99452
-8.03615, 5.98182
-8.06128, 5.96904
-8.08633, 5.95621
-8.11129, 5.94331
-8.13617, 5.93035
-8.16097, 5.91733
-8.18567, 5.90424
-8.2103, 5.8911
-8.23484, 5.87789
-8.25929, 5.86463
-8.28366, 5.8513
-8.30794, 5.83791
-8.33214, 5.82447
-8.35625, 5.81096
-8.38028, 5.7974
-8.40423, 5.78378
-8.42809, 5.7701
-8.45187, 5.75636
-8.47556, 5.74256
-8.49917, 5.72871
-8.52269, 5.7148
-8.54613, 5.70083
-8.56949, 5.68681
-8.59276, 5.67273
-8.61595, 5.6586
-8.63905, 5.64441
-8.66207, 5.63017
-8.68501, 5.61587
-8.70786, 5.60152
-8.73063, 5.58711
-8.75332, 5.57266
-8.77592, 5.55814
-8.79844, 5.54358
-8.82087, 5.52896
-8.84322, 5.51429
-8.86549, 5.49957
-8.88768, 5.48479
-8.90978, 5.46997
-8.9318, 5.45509
-8.95373, 5.44017
-8.97558, 5.42519
-8.99735, 5.41016
-9.01904, 5.39509
-9.04064, 5.37996
-9.06216, 5.36478
-9.0836, 5.34956
-9.10495, 5.33428
-9.12623, 5.31896
-9.14742, 5.30359
-9.16852, 5.28817
-9.18955, 5.27271
-9.21049, 5.25719
-9.23135, 5.24163
-9.25213, 5.22603
-9.27283, 5.21037
-9.29344, 5.19467
-9.31397, 5.17893
-9.33442, 5.16314
-9.35479, 5.1473
-9.37507, 5.13142
-9.39527, 5.11549
-9.4154, 5.09952
-9.43543, 5.08351
-9.45539, 5.06745
-9.47527, 5.05134
-9.49506, 5.0352
-9.51478, 5.01901
-9.53441, 5.00277
-9.55396, 4.9865
-9.57343, 4.97018
-9.59281, 4.95382
-9.61212, 4.93742
-9.63134, 4.92097
-9.65049, 4.90449
-9.66955, 4.88796
-9.68853, 4.87139
-9.70743, 4.85479
-9.72625, 4.83814
-9.74499, 4.82145
-9.76364, 4.80472
-9.78222, 4.78795
-9.80072, 4.77114
