timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-5.902545618319393e7,-2.181706037612201e7,2.214959956963808e6,-0.00015920520593706944,9.463688361304987e-5,0.0002732802818544693,-6.788529601104918e7,-2.437467583091661e7,-2.214959956963816e6,0.00020516850320222293,-0.00022092000497273952,-0.0002732802818544693,1.269107521942431e8,4.619173620703862e7,8.269770508683845e-9,-4.5963297265153506e-5,0.00012628312135968967,0.0
2.0215205309018665e10,-6.3039702046440735e7,-2.146030788527781e7,4.407637464596688e6,-0.00034226072133732623,-6.160857736648569e-5,2.0508596254795487e-6,-6.319428107669066e7,-2.6550053301762242e7,-4.407649230498936e6,0.00039003414087319184,-6.400134092829929e-5,-2.0523391221881235e-6,1.2623398312313141e8,4.801036118704005e7,11.765902250582426,-4.777341953586572e-5,0.000125609918294785,1.4794967087446539e-9
4.043041061803733e10,-6.709566403872028e7,-2.362116090888027e7,2.2312172903215233e6,-0.00016155037794733385,-0.00022223951713172551,-0.00027673983863860704,-5.843550266603613e7,-2.619792012843701e7,-2.2312482220580066e6,0.000211122411623435,9.732913253078328e-5,0.00027673897452665567,1.2553116670475636e8,4.981908103731728e7,30.93173648669879,-4.957203367610132e-5,0.00012491038460094234,8.641119514994509e-10
6.0645615927056e10,-6.672522568008536e7,-2.7077040667093046e7,-2.1964744276775285e6,0.0002137323999555192,-0.00022248911527129672,-0.0002777554880352829,-5.8077205846293196e7,-2.4540456643287875e7,2.196434013426901e6,-0.00016236901358013316,9.830579604146655e-5,0.00027775458554807705,1.2480243152637851e8,5.161749731038092e7,40.41425063389997,-5.136338637538629e-5,0.0001241833192298303,9.024872059731618e-10
8.086082123607466e10,-6.189036110729473e7,-2.922226217490398e7,-4.363085118175888e6,0.00039630641865804966,-5.847581349534674e-5,5.64474494274411e-6,-6.215754834509608e7,-2.4182980621379085e7,4.36302031091701e6,-0.0003431636928631076,-6.495690566655706e-5,-5.647066316656585e-6,1.2404790945239073e8,5.3405242796283066e7,64.8072588866159,-5.314272579494229e-5,0.00012343271916190397,2.321373912611434e-9
1.0107602654509332e11,-5.7155378844310895e7,-2.8801866152931087e7,-2.0964716968230777e6,0.00020428774856360064,9.898706916986343e-5,0.0002776065621181964,-6.611241258476835e7,-2.6380103253411777e7,2.0963758579417062e6,-0.0001493782089167862,-0.0002216433338214322,-0.00027760825046515495,1.2326779142907917e8,5.518196940634285e7,95.83888138339941,-5.490953964681492e-5,0.00012265626465156882,1.6883469586414482e-9
1.2129123185411198e11,-5.6834053021160424e7,-2.7166501862914436e7,2.263331761171336e6,-0.0001578888771695771,9.572456959675432e-5,0.00027119893694945037,-6.562816989731393e7,-2.9780782007263966e7,-2.263449484632729e6,0.00021455672820426693,-0.0002175771481588492,-0.0002712007321172672,1.224622229184743e8,5.694728387017837e7,117.72346140591873,-5.666785103469022e-5,0.00012185257856209495,1.7951678169312736e-9
1.4150643716313068e11,-6.08037155281127e7,-2.68047000789331e7,4.407116060340876e6,-0.000336981407645504,-6.166429890016662e-5,-2.0466415452810085e-6,-6.08276356879952e7,-3.1896124588509098e7,-4.40727165508903e6,0.0003953946830020352,-5.93616190195477e-5,2.0433278487593225e-6,1.2163135121610785e8,5.8700824667442165e7,155.59474816797118,-5.841327535653168e-5,0.00012102591791971436,3.31369652188116e-9
1.6172164247214932e11,-6.475063788554768e7,-2.8960741208986998e7,2.181328313421881e6,-0.00015210588156986288,-0.00022113347252190288,-0.0002788208069687158,-5.602474372231865e7,-3.1481513165857997e7,-2.181530300752298e6,0.00021225077537210936,0.00010095926732832722,0.00027881800530602153,1.2077538160786629e8,6.0442254374844976e7,201.98733043315173,-6.014489380224675e-5,0.00012017420519357566,2.801662694285704e-9
1.81936847781168e11,-6.4237325706561424e7,-3.2382609611358445e7,-2.2456682599275555e6,0.0002231718839364152,-0.00021886246808925828,-0.00027556597138001686,-5.565715448427002e7,-2.9788578396833293e7,2.245428427431138e6,-0.00016130521639222753,9.95668845089931e-5,0.0002755630930525091,1.1989448019083142e8,6.21711880081917e7,239.83249643322762,-6.186666754418789e-5,0.00011929558358026525,2.878327507769423e-9
